city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q45797,Dunkerque,86865,Point(2.376388888 51.037777777)
http://www.wikidata.org/entity/Q48285,Villa Carlos Paz,62423,Point(-64.516666666 -31.4),http://www.wikidata.org/entity/Q47649,Peschiera del Garda,10583,Point(10.688611111 45.438611111)
http://www.wikidata.org/entity/Q47571,Lorca,95515,Point(-1.7 37.683333333),http://www.wikidata.org/entity/Q47837,El Ayun,217732,Point(-13.2 27.15)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,31650,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,200733,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,32707,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,200733,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,33400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,200733,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,34022,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,200733,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,34859,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,200733,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12500,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12600,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12700,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,14000,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,17800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,23100,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,29883,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,30874,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,31650,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q79867,Birmingham,212237,Point(-86.81274 33.524755)
